1.4,1034
CIPV_VEH_LOST,0513-0519_1.csv,0.483
CIPV_POS_EXCEPTION_VEH,0513-0519_1.csv,0.097
CIPV_POS_SHIFT_DIFF_VEH,0513-0519_1.csv,0.193
CIPV_THETA_DIFF_VEH,0513-0519_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0513-0519_1.csv,0.097
LARGE_VEHICLE_POS_SHIFT_DIFF,0513-0519_1.csv,0.29
LARGE_VEHICLE_THETA_DIFF,0513-0519_1.csv,0
NarrowCIPV,0513-0519_1.csv,0
RadarAssignFusionMining,0513-0519_1.csv,0.29
RadarTrackFusionMining,0513-0519_1.csv,0.387
UnderlyingVelocityFusionMining,0513-0519_1.csv,0.29
VRUVelocityFusionMining,0513-0519_1.csv,0.193
RadarPositionFusionMining,0513-0519_1.csv,0.29
1.5,7409
CIPV_VEH_LOST,0513-0519_1.csv,0.459
CIPV_POS_EXCEPTION_VEH,0513-0519_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0513-0519_1.csv,0.067
CIPV_THETA_DIFF_VEH,0513-0519_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0513-0519_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0513-0519_1.csv,0.027
LARGE_VEHICLE_THETA_DIFF,0513-0519_1.csv,0
NarrowCIPV,0513-0519_1.csv,0
RadarAssignFusionMining,0513-0519_1.csv,0.229
RadarTrackFusionMining,0513-0519_1.csv,0.351
UnderlyingVelocityFusionMining,0513-0519_1.csv,0.202
VRUVelocityFusionMining,0513-0519_1.csv,0.445
RadarPositionFusionMining,0513-0519_1.csv,0
2.0,13420
CIPV_VEH_LOST,0513-0519_1.csv,0.514
CIPV_POS_EXCEPTION_VEH,0513-0519_1.csv,0.03
CIPV_POS_SHIFT_DIFF_VEH,0513-0519_1.csv,0.104
CIPV_THETA_DIFF_VEH,0513-0519_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0513-0519_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0513-0519_1.csv,0.238
LARGE_VEHICLE_THETA_DIFF,0513-0519_1.csv,0
NarrowCIPV,0513-0519_1.csv,0.291
RadarAssignFusionMining,0513-0519_1.csv,0.06
RadarTrackFusionMining,0513-0519_1.csv,0.067
UnderlyingVelocityFusionMining,0513-0519_1.csv,0.432
VRUVelocityFusionMining,0513-0519_1.csv,0.455
RadarPositionFusionMining,0513-0519_1.csv,0.06
