版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.1.39.88,0,0,0,0,0,0,0,0,0,0,0,1,0
8.1.39.89,2,0,0,0,0,0,0,0,0,0,1,0,0
8.3.47.2,11,0,0,0,0,0,0,4,0,0,0,0,0
8.3.47.3,5,0,0,0,0,0,0,1,0,0,0,0,0
8.3.47.14,2,0,0,0,0,0,1,2,0,0,0,0,0
8.3.47.21,17,0,0,0,0,0,0,11,0,0,0,0,0
8.3.47.22,16,0,0,0,0,0,0,11,0,0,0,0,0
8.3.47.24,1,0,0,0,0,0,0,1,0,0,0,0,0
8.3.47.25,1,0,0,0,0,0,0,0,0,0,0,0,0
8.3.47.26,8,0,0,0,0,0,0,17,0,0,0,2,1
8.3.47.27,2,0,0,0,0,0,0,2,0,0,0,0,0
8.3.47.28,0,0,0,0,0,0,0,5,0,0,0,0,1
8.3.47.30,9,0,0,0,0,0,0,0,0,1,5,4,0
8.3.47.31,0,0,0,0,0,0,0,1,0,0,2,1,0
8.3.47.32,15,0,3,0,0,0,0,19,2,4,6,3,0
8.3.47.33,14,2,1,0,0,4,0,15,0,4,5,4,1
8.3.48.1,4,0,1,0,0,2,0,5,0,0,1,0,0
8.3.48.2,5,0,0,0,1,0,0,14,0,0,3,5,1
8.3.48.4,0,0,0,0,0,0,0,2,1,0,0,2,0
8.3.48.5,15,0,1,0,0,3,0,12,0,0,11,2,2
8.3.48.6,22,0,3,0,0,4,0,7,0,7,5,2,0
8.3.48.7,24,0,4,0,0,3,0,13,0,1,12,11,0
8.3.48.8,9,0,0,0,1,0,0,7,0,1,6,0,0
8.3.48.9,5,0,0,0,0,0,0,10,1,0,4,2,0
8.3.48.10,0,0,30,0,0,3,0,4,0,0,1,0,0
8.3.48.11,0,15,125,0,2,15,0,4,0,0,0,0,0
8.3.48.12,2,3,99,0,0,15,0,6,0,2,0,0,0
8.3.48.14,5,7,72,0,0,11,0,3,1,0,3,2,0
8.3.48.16,0,0,2,0,0,2,0,0,0,0,0,0,0
8.4.37.129,0,0,2,0,0,0,0,0,4,1,0,1,2
8.4.37.131,4,0,5,0,0,1,0,0,4,2,5,5,8
8.4.39.82,12,0,0,2,2,2,0,0,2,6,0,11,0
8.4.40.50,0,0,1,0,0,3,0,7,0,0,3,2,0
8.4.40.56,11,0,1,0,1,3,0,8,1,4,13,18,3
8.4.40.57,3,0,0,0,0,0,0,0,0,0,0,2,0
8.4.40.58,1,0,0,0,0,0,0,1,0,0,0,0,0
8.4.40.59,0,0,0,0,0,0,0,0,0,0,2,0,0
8.4.40.61,5,3,0,0,0,1,0,16,0,1,4,4,0
8.4.40.62,0,0,0,0,0,0,0,0,0,0,1,0,0
8.4.40.63,2,0,0,0,0,0,0,5,0,0,1,0,0
8.4.40.64,7,0,0,0,0,1,0,2,0,0,7,2,1
8.4.40.66,1,2,0,0,0,0,0,4,0,0,3,1,1
8.4.40.68,8,0,2,1,0,2,0,3,0,2,13,4,0
8.4.40.69,18,0,0,0,0,1,0,8,1,2,15,7,0
8.4.40.70,3,0,0,0,0,0,0,3,0,0,6,3,1
8.4.40.71,1,0,0,0,0,0,0,10,0,1,3,1,0
8.4.40.73,4,0,1,0,0,1,0,8,1,1,10,3,0
8.4.40.661,19,1,4,1,0,4,0,35,1,2,18,12,0
8.4.40.662,1,0,0,0,0,0,0,1,0,0,2,0,0
8.5.40.71,0,0,0,0,0,0,0,0,0,0,1,0,0
