事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,39, 0.493, 0, 0, 0, 0
['CIPV_POS_EXCEPTION_VEH', '车辆CIPV位置异常触发器'],0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,4, 0.051, 0, 0, 0, 0
['CIPV_THETA_DIFF_VEH', 'CIPV车辆朝向异常'],0,0,0,0,0,0
['LARGE_VEHICLE_POS_EXCEPTION', '大车位置异常触发器'],0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,7, 0.089, 0, 0, 0, 0
['LARGE_VEHICLE_THETA_DIFF', '大车朝向异常触发器'],0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,2, 0.025, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),2, 0.025, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,4, 0.051, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),6, 0.076, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),30, 0.38, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),7, 0.089, 0, 0, 0, 0
,自动驾驶里程,7905

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,25, 6.426, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,0,0,0,0,0,0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,1, 0.257, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,1, 0.257, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),1, 0.257, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),1, 0.257, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),1, 0.257, 0, 0, 0, 0
,自动驾驶里程（km）,389

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,11, 0.148, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,4, 0.054, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,6, 0.081, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,0,0,0,0,0,0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),2, 0.027, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,2, 0.027, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),5, 0.067, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),28, 0.377, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),6, 0.081, 0, 0, 0, 0
,自动驾驶里程（km）,7419

