版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.40.26,2,1,1,0,0,1,0,2,0,0,0,0,1
8.4.39.82,3,0,0,0,0,0,0,0,0,1,1,1,1
8.4.39.83,1,0,1,0,0,2,0,0,1,0,1,5,0
8.4.39.721,1,0,0,0,1,1,0,0,0,0,1,5,1
8.4.40.41,11,0,0,0,0,0,0,12,0,0,0,0,0
8.4.40.45,303,1,2,0,0,11,0,127,0,3,3,8,8
8.4.40.46,297,0,0,0,0,5,0,127,1,0,5,4,1
8.4.40.47,0,0,0,0,0,0,0,1,0,0,0,0,0
8.4.40.48,0,0,3,0,0,7,1,4,0,0,8,10,3
8.4.40.49,4,1,0,0,0,4,0,3,0,0,4,5,1
