1.4,6815
CIPV_VEH_LOST,2,0.029
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,4,0.059
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,1,0.015
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,0,0
RadarAssignFusionMining,3,0.044
RadarTrackFusionMining,1,0.015
UnderlyingVelocityFusionMining,3,0.044
VRUVelocityFusionMining,3,0.044
RadarPositionFusionMining,7,0.103
1.5,3
CIPV_VEH_LOST,0,0
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,0,0
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0,0
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,0,0
RadarAssignFusionMining,0,0
RadarTrackFusionMining,0,0
UnderlyingVelocityFusionMining,0,0
VRUVelocityFusionMining,0,0
RadarPositionFusionMining,0,0
2.0,13580
CIPV_VEH_LOST,23,0.169
CIPV_POS_EXCEPTION_VEH,2,0.015
CIPV_POS_SHIFT_DIFF_VEH,2,0.015
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,2,0.015
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,28,0.206
RadarAssignFusionMining,1,0.007
RadarTrackFusionMining,5,0.037
UnderlyingVelocityFusionMining,26,0.191
VRUVelocityFusionMining,11,0.081
RadarPositionFusionMining,0,0
