版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.39.75,1,0,0,0,0,0,0,0,0,0,0
8.3.39.88,0,0,0,0,0,0,0,0,0,1,0
8.3.39.89,0,0,0,0,0,1,0,0,0,0,0
8.3.39.93,3,0,0,1,0,6,0,1,1,2,1
8.3.39.96,2,0,0,0,0,9,0,0,0,2,33
8.3.39.97,1,0,0,0,0,2,0,0,0,0,0
8.3.40.1,1,0,0,0,1,3,0,0,1,0,0
8.3.40.2,1,0,0,0,0,3,0,0,0,5,20
8.3.40.3,0,0,0,0,0,2,0,0,0,1,29
8.3.40.4,8,0,2,0,1,5,0,1,1,1,0
8.3.40.6,0,0,0,0,0,0,0,0,0,1,0
8.3.40.7,1,0,0,0,0,1,1,0,0,1,0
8.3.40.8,0,1,0,0,0,0,0,0,0,0,0
8.3.40.9,0,0,0,0,0,0,0,1,0,0,0
8.3.40.10,17,0,7,1,2,5,0,0,0,2,0
8.3.40.14,5,0,1,0,0,0,0,0,0,1,0
8.3.40.18,5,0,0,0,0,0,0,0,0,0,0
8.3.40.19,1,0,0,0,0,0,0,0,0,0,0
8.4.37.84,6,0,0,0,2,0,0,0,0,0,0
8.4.37.112,13,0,5,1,3,0,11,11,7,11,16
8.4.37.126,23,1,6,1,2,0,17,13,3,11,16
8.4.37.842,1,0,2,0,0,0,0,0,0,0,0
8.4.39.46,1,0,0,0,0,0,0,0,0,0,0
8.4.39.53,0,0,1,0,0,0,0,0,0,0,0
8.4.39.58,26,1,1,0,2,0,5,8,1,9,22
8.4.39.59,0,0,0,0,0,0,0,0,0,1,0
8.4.39.60,4,0,0,1,2,0,0,1,0,1,0
8.4.39.61,2,0,1,0,0,0,1,0,1,2,0
8.4.39.63,5,0,1,0,0,0,1,0,3,2,0
8.4.39.64,2,0,3,0,0,0,1,0,3,4,5
8.4.39.65,4,0,1,0,2,0,1,1,2,2,4
8.4.39.67,3,0,0,0,2,0,0,0,1,2,5
8.4.39.68,7,0,2,0,1,0,0,0,0,2,10
8.5.39.66,0,0,0,0,0,0,0,0,0,1,0
8.5.39.74,5,0,0,0,2,0,13,3,7,4,12
8.5.39.75,3,0,0,0,0,0,5,1,1,0,1
8.5.39.76,0,0,0,0,0,0,2,0,1,3,1
8.5.39.77,2,0,0,0,0,0,14,5,4,3,101
8.5.39.78,1,0,0,0,1,0,2,2,2,0,4
8.5.39.80,3,0,0,0,0,0,2,0,0,0,1
8.5.39.81,0,0,0,0,0,0,0,1,0,0,1
8.5.39.82,6,0,0,1,2,0,4,2,0,3,13
8.5.39.83,0,0,0,0,0,0,2,0,0,0,0
8.5.39.85,3,0,0,0,2,0,4,0,0,1,0
8.2024.4.17,0,0,1,0,0,0,0,0,0,0,0
