1.4,7027
CIPV_VEH_LOST,0422-0428_1.csv,0.84
CIPV_POS_EXCEPTION_VEH,0422-0428_1.csv,0.014
CIPV_POS_SHIFT_DIFF_VEH,0422-0428_1.csv,0.142
CIPV_THETA_DIFF_VEH,0422-0428_1.csv,0.028
LARGE_VEHICLE_POS_EXCEPTION,0422-0428_1.csv,0.028
LARGE_VEHICLE_POS_SHIFT_DIFF,0422-0428_1.csv,0.171
LARGE_VEHICLE_THETA_DIFF,0422-0428_1.csv,0
NarrowCIPV,0422-0428_1.csv,0
RadarAssignFusionMining,0422-0428_1.csv,0.498
RadarTrackFusionMining,0422-0428_1.csv,0.498
UnderlyingVelocityFusionMining,0422-0428_1.csv,0.37
VRUVelocityFusionMining,0422-0428_1.csv,0.612
RadarPositionFusionMining,0422-0428_1.csv,0.669
1.5,12347
CIPV_VEH_LOST,0422-0428_1.csv,0.348
CIPV_POS_EXCEPTION_VEH,0422-0428_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0422-0428_1.csv,0.073
CIPV_THETA_DIFF_VEH,0422-0428_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0422-0428_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0422-0428_1.csv,0.105
LARGE_VEHICLE_THETA_DIFF,0422-0428_1.csv,0
NarrowCIPV,0422-0428_1.csv,0
RadarAssignFusionMining,0422-0428_1.csv,0.049
RadarTrackFusionMining,0422-0428_1.csv,0.081
UnderlyingVelocityFusionMining,0422-0428_1.csv,0.13
VRUVelocityFusionMining,0422-0428_1.csv,0.616
RadarPositionFusionMining,0422-0428_1.csv,0.13
2.0,0
CIPV_VEH_LOST,0422-0428_1.csv,0
CIPV_POS_EXCEPTION_VEH,0422-0428_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0422-0428_1.csv,0
CIPV_THETA_DIFF_VEH,0422-0428_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0422-0428_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0422-0428_1.csv,0
LARGE_VEHICLE_THETA_DIFF,0422-0428_1.csv,0
NarrowCIPV,0422-0428_1.csv,0
RadarAssignFusionMining,0422-0428_1.csv,0
RadarTrackFusionMining,0422-0428_1.csv,0
UnderlyingVelocityFusionMining,0422-0428_1.csv,0
VRUVelocityFusionMining,0422-0428_1.csv,0
RadarPositionFusionMining,0422-0428_1.csv,0
