版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.39.88,0,0,0,0,0,0,1,0,0,0,1,0
8.3.39.93,4,0,1,0,0,0,1,0,2,0,2,0
8.3.40.14,4,0,0,0,0,0,0,0,0,0,0,0
8.3.40.18,18,0,1,0,0,2,3,0,0,0,1,0
8.3.40.19,51,0,0,0,0,1,0,0,2,1,1,1
8.3.40.20,46,0,0,0,0,0,2,1,0,1,2,2
8.3.40.21,0,0,0,0,0,0,1,0,0,0,3,0
8.3.40.22,3,0,0,0,0,0,10,0,1,0,3,0
8.3.40.23,4,0,1,0,0,0,0,0,0,0,1,2
8.3.40.24,3,1,3,0,0,3,2,0,0,2,2,0
8.3.40.25,3,0,1,0,0,0,5,0,0,0,0,0
8.3.40.26,6,1,0,0,0,1,3,0,0,7,5,1
8.3.40.27,2,0,0,0,0,0,0,0,0,2,0,0
8.3.40.28,4,0,0,0,0,2,0,0,0,0,0,0
8.3.40.31,0,0,0,0,0,1,0,0,0,0,0,0
8.4.37.84,8,0,0,0,0,0,0,0,0,0,0,0
8.4.37.126,50,1,10,2,2,11,0,30,35,23,42,44
8.4.37.128,0,0,0,0,0,1,0,3,0,3,1,2
8.4.37.129,1,0,0,0,0,0,0,2,0,0,0,1
8.4.39.66,0,0,0,0,0,0,0,0,1,0,0,0
8.4.39.68,2,0,1,0,0,0,0,0,0,1,0,0
8.4.39.69,6,0,0,0,0,1,0,1,2,1,13,0
8.4.39.70,1,0,2,0,0,1,0,1,0,2,10,0
8.4.39.71,2,0,0,0,0,1,0,1,0,0,6,0
8.4.39.72,2,0,2,0,0,0,0,0,0,0,3,0
8.4.39.73,7,0,0,0,0,2,0,0,1,4,9,3
8.4.39.74,6,0,2,0,0,1,0,0,0,1,9,7
8.4.39.75,8,0,2,0,0,3,0,1,2,2,11,3
8.4.39.76,9,0,0,0,0,4,0,2,4,5,15,3
8.5.39.82,2,0,0,0,0,0,0,1,8,0,1,3
8.5.39.85,0,0,0,0,0,0,0,2,0,1,0,2
8.5.39.88,6,0,0,0,0,0,0,6,9,0,4,3
8.5.39.89,5,0,0,0,0,2,0,2,3,1,0,2
