事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,173, 0.442, 11, 5, 162, 46
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,33, 0.084, 0, 0, 33, 17
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,1292, 3.298, 860, 133, 432, 138
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,3, 0.008, 0, 0, 3, 1
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,3, 0.008, 2, 0, 1, 0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,699, 1.784, 581, 90, 118, 37
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,5, 0.013, 0, 0, 5, 1
NarrowCIPV,narrow报出cipv,271, 0.692, 26, 6, 245, 62
RadarAssignFusionMining,视觉ID跳变(短暂丢失),16, 0.041, 0, 0, 16, 3
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,26, 0.066, 0, 0, 26, 3
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),189, 0.482, 0, 0, 189, 37
VRUVelocityFusionMining,视觉速度朝向(行人),120, 0.306, 0, 0, 120, 24
RadarPositionFusionMining,视觉位置跳动(CIPV),26, 0.066, 0, 0, 26, 5
,自动驾驶里程,39176

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,38, 0.242, 1, 1, 37, 15
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,31, 0.197, 0, 0, 31, 17
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,1274, 8.104, 855, 131, 419, 135
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,2, 0.013, 0, 0, 2, 1
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,686, 4.363, 575, 87, 111, 35
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,4, 0.025, 0, 0, 4, 1
NarrowCIPV,narrow报出cipv,155, 0.986, 13, 3, 142, 45
RadarAssignFusionMining,视觉ID跳变(短暂丢失),7, 0.045, 0, 0, 7, 1
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,11, 0.07, 0, 0, 11, 1
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),64, 0.407, 0, 0, 64, 11
VRUVelocityFusionMining,视觉速度朝向(行人),51, 0.324, 0, 0, 51, 11
RadarPositionFusionMining,视觉位置跳动(CIPV),19, 0.121, 0, 0, 19, 3
,自动驾驶里程,15721

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,118, 0.541, 10, 4, 108, 30
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.009, 0, 0, 2, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,10, 0.046, 5, 2, 5, 2
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,1, 0.005, 0, 0, 1, 0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,3, 0.014, 2, 0, 1, 0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,9, 0.041, 4, 3, 5, 1
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,92, 0.422, 13, 3, 79, 16
RadarAssignFusionMining,视觉ID跳变(短暂丢失),8, 0.037, 0, 0, 8, 2
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,15, 0.069, 0, 0, 15, 2
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),110, 0.505, 0, 0, 110, 24
VRUVelocityFusionMining,视觉速度朝向(行人),64, 0.294, 0, 0, 64, 13
RadarPositionFusionMining,视觉位置跳动(CIPV),6, 0.028, 0, 0, 6, 2
,自动驾驶里程,21792

