版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.47.3,2,0,0,0,0,0,0,1,0,0,0,0,0
8.3.49.1,0,0,31,0,0,31,0,1,0,0,0,0,0
8.3.49.2,3,0,347,0,0,131,0,26,1,1,8,9,0
8.3.49.3,7,0,0,0,0,7,0,30,2,2,9,11,4
8.3.49.5,3,0,0,0,0,5,3,9,1,0,15,7,12
8.3.49.7,0,0,2,0,0,1,1,7,0,0,0,1,0
8.3.49.8,5,0,0,0,0,4,0,4,0,1,4,5,0
8.3.49.9,0,0,0,0,0,0,0,12,1,0,3,1,3
8.4.49.5,2,0,2,0,0,2,0,2,0,0,4,1,0
8.4.49.6,5,0,6,0,0,2,1,9,0,0,8,1,1
8.8.49.4,1,0,0,0,0,0,0,1,0,0,0,0,0
8.1.40.69,4,0,0,0,0,0,0,9,0,0,1,3,0
8.1.40.88,0,0,0,0,0,0,0,2,0,0,0,0,0
8.1.40.89,0,0,0,0,0,0,0,0,0,0,1,0,0
8.1.40.90,0,0,0,0,0,0,0,1,0,0,1,0,0
8.3.39.88,5,0,0,0,0,0,0,0,1,0,0,0,0
8.3.48.17,0,0,1,0,0,0,0,0,0,0,0,0,0
8.3.48.27,0,0,14,0,0,2,0,0,0,0,0,0,0
8.3.48.32,4,0,498,0,0,396,0,12,1,1,4,1,0
8.3.48.34,0,0,12,0,0,7,0,14,0,0,5,5,0
8.3.48.35,0,0,39,0,0,5,0,2,0,0,0,0,0
8.3.48.36,2,0,233,0,0,94,0,12,1,6,11,7,0
8.3.49.10,8,0,7,1,0,0,0,22,0,0,4,4,0
8.3.49.11,1,5,12,0,0,1,0,2,0,0,1,0,0
8.3.49.12,2,9,13,0,0,0,0,1,0,0,0,0,0
8.3.49.13,0,10,36,0,0,0,0,0,0,0,0,0,0
8.3.49.16,0,5,16,0,0,1,0,0,0,0,0,0,0
8.3.49.17,1,2,13,1,0,1,0,0,0,0,0,0,0
8.4.40.84,2,0,0,0,0,0,0,3,0,0,1,0,0
8.4.40.85,2,0,1,0,0,1,0,5,0,0,0,0,0
8.4.40.86,14,0,3,0,0,3,0,14,1,1,26,12,1
8.4.40.87,7,0,0,0,0,0,0,14,0,0,12,9,0
8.4.40.89,16,0,0,0,1,1,0,10,2,5,14,6,3
8.4.40.90,20,1,4,0,1,4,0,21,0,1,24,8,0
8.4.40.92,14,1,0,0,0,0,0,6,0,2,13,2,0
8.4.37.129,0,0,0,0,0,0,0,0,3,3,1,0,1
8.4.40.791,43,0,2,1,1,0,0,19,2,3,19,27,1
