事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,94, 0.256, 4, 4, 90, 87
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,4, 0.011, 0, 0, 4, 4
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,188, 0.512, 14, 6, 174, 168
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,1, 0.003, 0, 0, 1, 1
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,6, 0.016, 0, 0, 6, 6
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,119, 0.324, 22, 14, 97, 95
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,3, 0.008, 0, 0, 3, 3
NarrowCIPV,narrow报出cipv,231, 0.629, 10, 0, 221, 58
RadarAssignFusionMining,视觉ID跳变(短暂丢失),16, 0.044, 0, 0, 16, 7
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,25, 0.068, 0, 0, 25, 11
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),146, 0.398, 0, 0, 146, 40
VRUVelocityFusionMining,视觉速度朝向(行人),101, 0.275, 0, 0, 101, 30
RadarPositionFusionMining,视觉位置跳动(CIPV),49, 0.133, 0, 0, 49, 24
,自动驾驶里程,36727

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,25, 0.205, 4, 4, 21, 21
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,18, 0.148, 12, 5, 6, 6
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,1, 0.008, 0, 0, 1, 1
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,5, 0.041, 0, 0, 5, 5
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,51, 0.419, 16, 8, 35, 33
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,2, 0.016, 0, 0, 2, 2
NarrowCIPV,narrow报出cipv,94, 0.772, 8, 0, 86, 24
RadarAssignFusionMining,视觉ID跳变(短暂丢失),8, 0.066, 0, 0, 8, 4
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,8, 0.066, 0, 0, 8, 4
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),56, 0.46, 0, 0, 56, 16
VRUVelocityFusionMining,视觉速度朝向(行人),36, 0.296, 0, 0, 36, 10
RadarPositionFusionMining,视觉位置跳动(CIPV),28, 0.23, 0, 0, 28, 15
,自动驾驶里程（km）,12178

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,58, 0.872, 0, 0, 58, 56
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,4, 0.06, 0, 0, 4, 4
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,162, 2.434, 1, 0, 161, 155
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,44, 0.661, 3, 3, 41, 41
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,53, 0.796, 1, 0, 52, 13
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,7, 0.105, 0, 0, 7, 3
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),22, 0.331, 0, 0, 22, 7
VRUVelocityFusionMining,视觉速度朝向(行人),17, 0.255, 0, 0, 17, 7
RadarPositionFusionMining,视觉位置跳动(CIPV),18, 0.27, 0, 0, 18, 7
,自动驾驶里程（km）,6654

