版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.1.40.90,0,0,0,0,0,0,0,2,0,0,0,0,0
8.1.40.91,0,0,0,0,0,0,0,3,0,0,1,1,0
8.1.40.92,0,0,0,0,0,0,0,1,0,0,0,0,0
8.3.38.42,0,0,1,0,0,0,0,0,2,0,0,0,3
8.3.39.88,0,0,0,0,0,0,0,1,0,0,1,0,0
8.3.48.32,0,0,11,0,0,13,0,0,0,0,1,0,0
8.3.49.2,0,0,0,0,0,1,0,0,0,0,0,0,1
8.3.49.10,3,0,0,0,0,0,0,0,0,0,0,1,0
8.3.49.21,0,0,1,0,0,6,1,6,0,1,8,5,11
8.3.49.22,1,0,0,0,0,1,0,5,0,0,0,0,0
8.3.49.23,0,0,0,0,0,0,0,2,0,0,0,0,0
8.3.49.24,2,0,0,0,2,1,0,9,3,0,8,11,7
8.3.49.25,1,0,0,0,0,1,0,5,0,1,0,4,1
8.3.49.26,6,0,0,1,0,11,0,30,3,3,21,11,8
8.3.49.28,0,0,2,0,0,1,0,9,0,0,0,1,0
8.3.49.30,1,0,0,0,2,8,0,3,0,0,5,1,0
8.3.49.31,6,0,4,0,0,2,0,10,0,0,1,0,0
8.3.49.32,3,0,0,0,0,1,0,8,2,1,3,0,0
8.3.49.33,0,0,0,0,0,0,1,3,0,0,4,1,0
8.3.49.34,0,0,0,0,1,4,0,1,0,0,3,1,0
8.3.49.35,1,0,0,0,0,1,0,2,0,0,0,0,0
8.3.49.241,1,0,0,0,0,0,0,1,0,2,2,0,0
8.4.40.89,0,0,0,0,0,1,0,0,0,0,0,0,0
8.4.40.90,36,0,1,0,0,4,0,30,0,2,19,15,0
8.4.40.92,2,0,0,0,0,0,0,5,0,0,2,1,0
8.4.40.94,0,0,2,0,0,0,0,0,0,0,0,0,0
8.4.40.95,17,4,135,0,0,36,0,12,0,5,1,1,15
8.4.40.96,3,0,24,0,0,3,0,6,0,0,0,0,3
8.4.49.6,2,0,1,0,0,0,0,6,0,2,8,7,0
8.4.49.7,0,0,1,0,0,1,1,11,1,0,13,9,0
8.4.49.22,0,0,0,0,0,0,0,2,0,3,0,0,0
8.4.49.23,2,0,2,0,0,6,0,25,2,1,12,7,0
8.4.49.24,0,0,0,0,1,3,0,4,0,0,7,2,0
8.4.49.26,4,0,0,0,0,1,0,5,2,1,3,6,0
8.4.49.27,1,0,0,0,0,3,0,2,1,1,3,3,0
8.4.49.29,1,0,1,0,0,3,0,4,0,0,6,3,0
8.4.49.30,1,0,2,0,0,7,0,18,0,2,14,10,0
