1.4,427
CIPV_VEH_LOST,1,0.234
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,0,0
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0,0
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,0,0
RadarAssignFusionMining,2,0.467
RadarTrackFusionMining,6,1.402
UnderlyingVelocityFusionMining,0,0
VRUVelocityFusionMining,2,0.467
RadarPositionFusionMining,4,0.935
1.5,0
CIPV_VEH_LOST,0,0
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,0,0
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0,0
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,0,0
RadarAssignFusionMining,0,0
RadarTrackFusionMining,0,0
UnderlyingVelocityFusionMining,0,0
VRUVelocityFusionMining,0,0
RadarPositionFusionMining,0,0
2.0,1687
CIPV_VEH_LOST,22,1.304
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,3,0.178
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,1,0.059
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,15,0.889
RadarAssignFusionMining,3,0.178
RadarTrackFusionMining,13,0.77
UnderlyingVelocityFusionMining,8,0.474
VRUVelocityFusionMining,8,0.474
RadarPositionFusionMining,1,0.059
